date,reserve_capacity_mw,reserve_margin_pct
2025-01-01,3070.0,10.97
2025-01-02,4504.0,15.21
2025-01-03,7866.0,26.53
2025-01-04,3622.0,13.18
2025-01-05,4099.0,15.09
2025-01-06,5400.0,18.54
2025-01-07,4433.0,14.9
2025-01-08,4450.0,14.91
2025-01-09,5188.0,17.33
2025-01-10,10409.0,35.19
2025-01-11,4521.0,16.03
2025-01-12,4169.0,15.0
2025-01-13,4480.0,15.16
2025-01-14,2576.0,8.56
2025-01-15,7191.0,23.81
2025-01-16,4292.0,14.18
2025-01-17,4538.0,15.41
2025-01-18,4495.0,15.93
2025-01-19,4693.0,16.94
2025-01-20,5793.0,19.73
2025-01-21,3591.0,12.3
2025-01-22,6608.0,22.58
2025-01-23,7674.0,26.79
2025-01-24,14373.0,52.95
2025-01-25,6120.0,23.41
2025-01-26,6740.0,26.18
2025-01-27,7156.0,28.63
2025-01-28,7205.0,30.54
2025-01-29,6271.0,26.72
2025-01-30,7449.0,31.92
2025-01-31,6095.0,25.35
2025-02-01,8451.0,33.94
2025-02-02,8531.0,33.31
2025-02-03,6712.0,23.24
2025-02-04,6421.0,21.76
2025-02-05,4651.0,15.82
2025-02-06,4081.0,13.81
2025-02-07,7405.0,24.9
2025-02-08,3271.0,11.09
2025-02-09,4497.0,15.72
2025-02-10,5038.0,17.1
2025-02-11,4333.0,14.65
2025-02-12,3344.0,11.12
2025-02-13,5573.0,18.52
2025-02-14,7961.0,26.75
2025-02-15,4586.0,16.77
2025-02-16,5394.0,19.99
2025-02-17,8008.0,27.42
2025-02-18,7855.0,26.41
2025-02-19,10836.0,36.38
2025-02-20,9333.0,31.12
2025-02-21,9703.0,32.39
2025-02-22,4742.0,17.17
2025-02-23,4324.0,15.63
2025-02-24,5084.0,17.05
2025-02-25,11457.0,38.56
2025-02-26,6455.0,21.74
2025-02-27,8493.0,28.57
2025-02-28,3057.0,11.12
2025-03-01,2973.0,10.91
2025-03-02,3138.0,11.42
2025-03-03,2909.0,9.09
2025-03-04,6547.0,20.29
2025-03-05,9793.0,31.47
2025-03-06,6597.0,21.64
2025-03-07,9928.0,32.79
2025-03-08,5544.0,19.91
2025-03-09,4718.0,17.23
2025-03-10,6290.0,20.84
2025-03-11,9700.0,31.09
2025-03-12,4332.0,13.54
2025-03-13,6262.0,19.23
2025-03-14,9165.0,28.61
2025-03-15,4189.0,14.67
2025-03-16,3784.0,13.93
2025-03-17,3055.0,10.26
2025-03-18,5172.0,17.08
2025-03-19,8608.0,28.7
2025-03-20,13139.0,44.61
2025-03-21,12041.0,40.63
2025-03-22,4182.0,15.31
2025-03-23,3468.0,12.85
2025-03-24,7111.0,23.32
2025-03-25,7360.0,23.57
2025-03-26,8382.0,25.87
2025-03-27,10317.0,30.93
2025-03-28,8850.0,27.96
2025-03-29,5516.0,20.02
2025-03-30,4877.0,18.0
2025-03-31,7473.0,25.0
2025-04-01,10440.0,34.66
2025-04-02,10518.0,35.57
2025-04-03,6672.0,24.63
2025-04-04,3440.0,12.9
2025-04-05,3488.0,13.06
2025-04-06,5105.0,19.07
2025-04-07,4713.0,15.11
2025-04-08,6678.0,20.94
2025-04-09,6312.0,19.45
2025-04-10,5098.0,15.63
2025-04-11,3835.0,11.51
2025-04-12,5168.0,17.42
2025-04-13,3344.0,12.42
2025-04-14,8422.0,26.83
2025-04-15,8147.0,25.58
2025-04-16,5833.0,17.98
2025-04-17,6553.0,19.48
2025-04-18,7926.0,23.24
2025-04-19,7437.0,24.3
2025-04-20,4294.0,14.67
2025-04-21,8118.0,23.01
2025-04-22,5358.0,14.92
2025-04-23,7735.0,21.95
2025-04-24,4390.0,12.81
2025-04-25,6945.0,20.81
2025-04-26,5856.0,20.39
2025-04-27,2888.0,10.04
2025-04-28,5160.0,15.86
2025-04-29,7327.0,22.42
2025-04-30,8985.0,26.8
2025-05-01,4274.0,14.22
2025-05-02,10407.0,31.58
2025-05-03,7761.0,25.65
2025-05-04,2046.0,6.84
2025-05-05,6671.0,18.6
2025-05-06,6841.0,18.66
2025-05-07,6601.0,19.38
2025-05-08,7693.0,21.46
2025-05-09,6194.0,16.64
2025-05-10,8702.0,28.29
2025-05-11,6477.0,23.25
2025-05-12,7311.0,22.57
2025-05-13,8392.0,24.34
2025-05-14,9842.0,27.88
2025-05-15,9596.0,26.63
2025-05-16,7514.0,20.26
2025-05-17,9075.0,27.06
2025-05-18,2979.0,9.3
2025-05-19,7043.0,18.77
2025-05-20,6816.0,17.7
2025-05-21,5162.0,13.27
2025-05-22,7104.0,18.14
2025-05-23,8014.0,20.55
2025-05-24,8934.0,27.55
2025-05-25,7861.0,27.55
2025-05-26,12364.0,38.67
2025-05-27,8074.0,22.97
2025-05-28,7680.0,21.99
2025-05-29,4581.0,13.54
2025-05-30,16209.0,57.06
2025-05-31,2390.0,8.03
2025-06-01,4751.0,15.31
2025-06-02,6013.0,16.38
2025-06-03,3389.0,9.28
2025-06-04,6690.0,19.18
2025-06-05,5798.0,16.49
2025-06-06,6634.0,18.31
2025-06-07,10497.0,31.2
2025-06-08,2992.0,9.06
2025-06-09,6415.0,16.66
2025-06-10,6427.0,16.25
2025-06-11,6050.0,14.98
2025-06-12,4533.0,11.86
2025-06-13,3826.0,10.81
2025-06-14,7590.0,22.6
2025-06-15,4489.0,13.44
2025-06-16,6443.0,16.62
2025-06-17,4329.0,11.25
2025-06-18,3681.0,9.28
2025-06-19,6465.0,16.4
2025-06-20,6916.0,17.61
2025-06-21,9598.0,27.29
2025-06-22,2847.0,8.51
2025-06-23,7486.0,18.86
2025-06-24,5238.0,13.06
2025-06-25,6737.0,16.7
2025-06-26,6841.0,17.18
2025-06-27,7354.0,18.57
2025-06-28,10042.0,29.47
2025-06-29,8983.0,27.61
2025-06-30,6374.0,16.26
2025-07-01,7541.0,18.64
2025-07-02,5880.0,14.37
2025-07-03,6588.0,16.19
2025-07-04,4107.0,10.13
2025-07-05,8768.0,25.09
2025-07-06,7853.0,25.45
2025-07-07,8902.0,29.12
2025-07-08,7036.0,19.49
2025-07-09,6506.0,18.75
2025-07-10,4831.0,13.94
2025-07-11,6136.0,17.47
2025-07-12,12152.0,36.72
2025-07-13,4012.0,12.24
2025-07-14,8436.0,22.3
2025-07-15,6656.0,17.18
2025-07-16,8138.0,20.61
2025-07-17,7299.0,18.16
2025-07-18,6731.0,16.76
2025-07-19,4290.0,12.93
2025-07-20,5233.0,16.48
2025-07-21,7992.0,22.09
2025-07-22,5370.0,14.49
2025-07-23,8823.0,22.77
2025-07-24,7930.0,20.4
2025-07-25,9917.0,26.37
2025-07-26,10234.0,30.85
2025-07-27,6346.0,19.38
2025-07-28,5156.0,13.94
2025-07-29,8218.0,23.07
2025-07-30,6350.0,16.77
2025-07-31,6832.0,18.24
2025-08-01,6764.0,17.94
2025-08-02,7451.0,23.01
2025-08-03,5384.0,17.1
2025-08-04,5420.0,14.84
2025-08-05,8248.0,21.82
2025-08-06,8420.0,21.8
2025-08-07,8127.0,20.94
2025-08-08,8501.0,21.74
2025-08-09,8223.0,23.17
2025-08-10,5025.0,15.13
2025-08-11,9096.0,23.23
2025-08-12,6641.0,16.79
2025-08-13,7596.0,21.05
2025-08-14,6876.0,17.58
2025-08-15,7124.0,18.06
2025-08-16,8927.0,25.37
2025-08-17,2694.0,8.05
2025-08-18,7420.0,18.71
2025-08-19,7023.0,17.59
2025-08-20,7091.0,17.79
2025-08-21,8975.0,23.15
2025-08-22,8151.0,20.73
2025-08-23,11854.0,33.75
2025-08-24,9793.0,28.98
2025-08-25,6865.0,17.13
2025-08-26,6964.0,17.29
2025-08-27,5823.0,15.25
2025-08-28,6146.0,15.63
2025-08-29,7139.0,17.97
2025-08-30,10630.0,30.19
2025-08-31,3364.0,9.99
2025-09-01,6184.0,16.19
2025-09-02,6175.0,16.01
2025-09-03,7232.0,18.5
2025-09-04,7589.0,19.3
2025-09-05,6540.0,16.6
2025-09-06,8617.0,23.78
2025-09-07,9471.0,28.16
2025-09-08,6603.0,16.87
2025-09-09,5193.0,13.1
2025-09-10,3676.0,9.03
2025-09-11,6337.0,15.98
2025-09-12,6130.0,15.46
2025-09-13,7891.0,22.43
2025-09-14,2566.0,7.64
2025-09-15,4911.0,12.4
2025-09-16,3369.0,8.48
2025-09-17,4233.0,10.61
2025-09-18,2383.0,6.11
2025-09-19,4147.0,10.5
2025-09-20,8578.0,24.37
2025-09-21,2925.0,8.78
2025-09-22,5673.0,14.73
2025-09-23,2174.0,6.08
2025-09-24,3548.0,9.43
2025-09-25,6254.0,16.0
2025-09-26,3138.0,8.43
2025-09-27,7201.0,20.98
2025-09-28,2201.0,6.74
2025-09-29,8347.0,25.1
2025-09-30,5500.0,14.07
2025-10-01,4781.0,12.19
2025-10-02,5650.0,14.54
2025-10-03,4417.0,11.32
2025-10-04,8525.0,24.18
2025-10-05,9398.0,28.76
2025-10-06,3125.0,9.5
2025-10-07,6968.0,17.95
2025-10-08,6441.0,16.7
2025-10-09,8198.0,21.45
2025-10-10,8626.0,25.29
2025-10-11,7815.0,23.45
2025-10-12,2953.0,9.0
2025-10-13,5817.0,15.01
2025-10-14,5440.0,13.91
2025-10-15,5728.0,14.81
2025-10-16,5885.0,15.13
2025-10-17,5150.0,13.23
2025-10-18,7988.0,22.84
2025-10-19,5208.0,16.53
2025-10-20,7090.0,20.09
2025-10-21,6805.0,19.91
2025-10-22,5565.0,16.5
2025-10-23,5739.0,16.91
2025-10-24,7597.0,25.7
2025-10-25,2978.0,10.01
2025-10-26,3034.0,10.6
2025-10-27,5643.0,17.51
2025-10-28,6832.0,20.74
2025-10-29,7585.0,23.03
2025-10-30,7241.0,21.23
2025-10-31,9329.0,28.18
2025-11-01,3312.0,11.44
2025-11-02,4498.0,16.15
2025-11-03,8226.0,25.83
2025-11-04,7979.0,24.52
2025-11-05,5730.0,17.28
2025-11-06,7040.0,20.72
2025-11-07,6574.0,18.97
2025-11-08,3536.0,11.65
2025-11-09,4519.0,15.34
2025-11-10,3773.0,11.43
2025-11-11,7559.0,23.33
2025-11-12,6939.0,22.93
2025-11-13,9125.0,28.21
2025-11-14,8144.0,25.4
2025-11-15,4125.0,14.23
2025-11-16,2720.0,9.48
2025-11-17,7030.0,21.55
